מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",גבעתיים,הגורן 4,הגורן 4,2011,2011,לא נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,פוטנציאל זיהום,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",הרצלייה,sea viewהסדנאות פינת המנופים,סדנאות/מנופים,2009,2012,יש זיהום ,יש זיהום,כבד,סקר קרקע,תעשיה,כן,כן,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,דרך קיבוץ גלויות 108 - 106,קיבוץ גלויות 108 - 106,2011,2012,נבדק ואין זיהום,היה זיהום בעבר ששוקם,קל,שיקום ,תחנות דלק,לא,כן,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קדם 4,קדם 4,2011,2011,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קהילת אודסה 22,קהילת אודסה 22,2013,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קהילת בודפסט 17,קהילת בודפסט 18,2012,2012,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קהילת ורשה 69,קהילת ורשה 69,2013,2013,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קהילת יאסי 13,קהילת יאסי 13,2014,2014,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,קהילת קישניב 3,קהילת קישניב 3,2011,2011,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,קפה בתיה - דיזנגוף 197,דיזנגוף 197,2013,2013,יש זיהום ,נבדק ואין זיהום,כבד,סקר קרקע,בבדיקה ,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",רמת-גן,קרמניצקי 16 - שדרות ההשכלה,קרמניצקי 16 - שדרות ההשכלה,2013,2013,יש זיהום ,יש זיהום,כבד,סקר קרקע,אחר,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,"כימיכלור שיווק בע""מ -פנינת האורגים",המנור פינת האורגים,2010,2010,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,מוסיק חלפים,תמנע 29(לפי 27),2007,2009,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,תעשיה,,כן,כן,,,,מיגון לאחר בדיקה
"ת""א",חולון,מוסך ירקוני,הכישור,2008,2008,לא נבדק ויש פוטנציאל ,נבדק ואין זיהום,אין זיהום,סקר קרקע,מוסך,לא,לא,לא,לא,לא,לא,טרם נבדק
"ת""א",חולון,מחסני קרפרי,החופר 5,2011,2013,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,תעשיה,כן,כן,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,מסיעי שאשא ,הרוקמים 13,2006,2007,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,בינוני ,שיקום ,מוסך,כן,לא,לא,כן,לא,לא,טרם נבדק
"ת""א",חולון,מקורות,הפלד 1,2006,2007,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,כבד,שיקום ,תעשיה,לא,כן,לא,לא,לא,לא,טרם נבדק
"ת""א",חולון,מתחם UMI,האופן 1 פינת רחוב הפלד,2006,2007,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,מוסך,לא,כן,לא,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,מתחם הופיין פינת זלמן ארן - מכבי,פינת זלמן ארן - מכבי,2010,2010,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר קרקע,אחר,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,סוביגל,המרכבה 47,0,2009,נבדק ואין זיהום,יש זיהום,קל,סקר קרקע,תעשיה,לא,כן,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",גבעתיים,סירקין 4 ,סירקין 4,2013,2014,יש זיהום ,לא נבדק ויש פוטנציאל,קל,סקר גז קרקע,אחר,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,פארק פרס,,2012,2012,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,פרופיט סיירים,המרכבה,2008,2008,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר קרקע,תעשיה,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
